CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50038736,DON NICO'S,Queens,9014,161ST ST,11432,7182976426,Mexican,03/29/2018,Violations were cited in the following area(s).,09B,Thawing procedures improper.,N,18,,,04/12/2020,Cycle Inspection / Initial Inspection,40.70518804814,-73.799273880691,412,24,044601,4594411,4097577501,QN61
50033304,ASTORIA PIZZA,Queens,3204B,30TH AVE,11102,7185451313,Pizza,12/18/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,16,B,12/18/2019,04/12/2020,Cycle Inspection / Re-inspection,40.766440105102,-73.920448473045,401,22,006300,,4,QN70
50081658,IRVING FARMS,Queens,,CENTRAL TERMINAL BUILDING,11371,7037237264,Café/Coffee/Tea,12/13/2018,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,9,A,12/13/2018,04/12/2020,Pre-permit (Operational) / Initial Inspection,,,,,,,,
50033733,ICHIBANTEI,Manhattan,401,EAST   13 STREET,10009,6463689755,Japanese,02/12/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,12,,,04/12/2020,Cycle Inspection / Initial Inspection,40.730515493118,-73.982731552513,103,02,003400,1006009,1004410001,MN22
40559634,TICK TOCK DINER,Manhattan,481,8 AVENUE,10001,2122688444,American,08/22/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,36,,,04/12/2020,Cycle Inspection / Initial Inspection,40.752288062254,-73.9934021983,104,03,011100,1013561,1007580037,MN13
50084922,JUICE POINT,Brooklyn,784,MANHATTAN AVENUE,11222,3472940660,"Juice, Smoothies, Fruit Salads",12/26/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,A,12/26/2019,04/12/2020,Cycle Inspection / Re-inspection,40.727468661941,-73.95288736996,301,33,056100,3065327,3025970005,BK76
40914702,PIO PIO,Manhattan,702,AMSTERDAM AVENUE,10025,2126653000,Peruvian,08/29/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,64,,,04/12/2020,Cycle Inspection / Initial Inspection,40.792799995389,-73.97128853059,107,06,018300,1033677,1012420029,MN12
41600159,JUMBO'S HAMBURGERS,Manhattan,274,WEST  145 STREET,10039,2124915444,Hamburgers,09/01/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,13,A,09/01/2017,04/12/2020,Cycle Inspection / Initial Inspection,40.82244817505,-73.941033864044,110,09,023200,1060443,1020300005,MN03
50017188,QED,Queens,2716,23RD AVE,11105,3474513873,Café/Coffee/Tea,07/31/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,07/31/2017,04/12/2020,Cycle Inspection / Initial Inspection,40.775891932342,-73.915060974659,401,22,009700,4018044,4008530043,QN72
40596377,LOS PAPIS RESTAURANT,Brooklyn,77,BRIDGE STREET,11201,7185966965,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",02/21/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,11,A,02/21/2018,04/12/2020,Cycle Inspection / Initial Inspection,40.702101931745,-73.984708129854,302,33,002100,3000142,3000550009,BK38
50004623,SCHNIPPERS,Manhattan,570,LEXINGTON AVENUE,10022,2128268100,American,02/14/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,27,,,04/12/2020,Cycle Inspection / Initial Inspection,40.756918006477,-73.972065672336,105,04,010000,1036459,1013050060,MN19
50075375,ATOMIC WINGS,Manhattan,2090,FREDERICK DOUGLASS BOULEVARD,,2126662904,American,07/10/2018,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",N,,,,04/12/2020,Administrative Miscellaneous / Re-inspection,0,0,,,,,1,
50002512,WING LING,Bronx,159B,EAST  170 STREET,10452,7185380278,Chinese,05/23/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,44,,,04/12/2020,Cycle Inspection / Initial Inspection,40.839097733407,-73.914741439361,204,14,022300,2007996,2028330001,BX63
41463601,JUAN VALDEZ CAFE,Manhattan,140,EAST   57 STREET,10022,9172890981,Café/Coffee/Tea,05/23/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,24,,,04/12/2020,Cycle Inspection / Initial Inspection,40.760784537504,-73.96882608698,106,04,011203,1036887,1013110049,MN19
41485041,FULTON GRAND,Brooklyn,1011,FULTON STREET,11238,7183992240,American,12/12/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,22,,,04/12/2020,Cycle Inspection / Initial Inspection,40.682342338495,-73.961453594574,302,35,022700,3057236,3019910011,BK69
50048685,KENNEDY FRIED CHICKEN,Manhattan,1270,SAINT NICHOLAS AVENUE,10033,3473197841,Chicken,01/19/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,13,A,01/19/2018,04/12/2020,Cycle Inspection / Re-inspection,40.844500141802,-73.937237272786,112,10,026100,1063119,1021300008,MN36
50058910,HUNGER PANG,Brooklyn,1021,CHURCH AVENUE,11218,9176270785,Asian,06/15/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,06/15/2017,04/12/2020,Pre-permit (Operational) / Re-inspection,40.646714938618,-73.970032730585,314,40,050600,3116328,3050710040,BK42
40376029,MOMS LUNCHEONETTE,Queens,10102,103 AVENUE,11417,7187389553,American,03/14/2020,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,13,A,03/14/2020,04/12/2020,Cycle Inspection / Initial Inspection,40.683538858646,-73.840489702887,410,32,011200,4201304,4095050001,QN54
50019128,IKI MODERN JAPANESE CUISINE,Queens,13342,39TH AVE,11354,7189393388,Japanese,07/13/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,10,A,07/13/2017,04/12/2020,Cycle Inspection / Initial Inspection,40.759098909404,-73.834139118565,407,20,087100,4596186,4049737501,QN22
40608746,KANA TAPAS BAR & RESTAURANT,Manhattan,324,SPRING STREET,10013,2123438180,Tapas,09/06/2016,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",N,,,,04/12/2020,Trans Fat / Initial Inspection,40.725993041785,-74.009301091655,102,03,003700,1010345,1005950072,MN24
50047834,SUBWAY,Brooklyn,7810,FLATLANDS AVENUE,11236,7185315003,Sandwiches,06/25/2016,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",N,,,,04/12/2020,Smoke-Free Air Act / Re-inspection,40.634640172836,-73.914596533379,318,46,095600,3224809,3080150041,BK50
50000458,BEVERLEY PIZZA & CAFE,Brooklyn,358,EAST    2 STREET,11218,7184310222,Pizza,07/08/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,12,A,07/08/2019,04/12/2020,Cycle Inspection / Initial Inspection,40.642336106996,-73.978167421565,312,39,048600,3343493,3053530100,BK41
50002521,JADE PALACE,Bronx,163,EINSTEIN LOOP,10475,7183201584,Chinese,05/14/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,11,A,05/14/2018,04/12/2020,Cycle Inspection / Initial Inspection,40.86405180871,-73.822556542438,210,12,030200,2095160,2051350210,BX13
50076972,KENNEDY FRIED CHICKEN,Queens,8905C,165TH ST,11432,5168283189,Chicken,05/07/2019,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",N,,,,04/12/2020,Trans Fat / Initial Inspection,40.707378251953,-73.796089608214,412,27,046000,4209605,4097950065,QN61
40389732,GIANDO,Brooklyn,412,KENT AVENUE,11249,7183877000,Italian,07/10/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,07/10/2017,04/12/2020,Cycle Inspection / Re-inspection,40.710332945046,-73.968532355136,301,33,054900,3059493,3021280001,BK73
50049572,ASIAN 59,Manhattan,207,EAST   59 STREET,10022,2123714777,Chinese/Japanese,04/10/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,40,,,04/12/2020,Cycle Inspection / Initial Inspection,40.761368409998,-73.966140125239,108,04,011000,1043339,1014140005,MN31
50044246,FLEET BAKERY,Manhattan,24,BOWERY,10013,6462589018,Bakery,10/29/2019,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,10,A,10/29/2019,04/12/2020,Cycle Inspection / Re-inspection,40.714824919745,-73.99695907626,103,01,002900,1001803,1001630036,MN27
50038120,SHUN WON FLUSHING,Queens,4127,MAIN ST,11355,7184606118,Chinese,07/17/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,40,C,07/17/2018,04/12/2020,Cycle Inspection / Re-inspection,40.757389720048,-73.829071924096,407,20,085300,4114281,4050430009,QN22
41475817,ARGO TEA CAFE,Manhattan,1792,BROADWAY,10019,6465496328,Café/Coffee/Tea,07/28/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,27,,,04/12/2020,Cycle Inspection / Initial Inspection,40.76715789491,-73.981700353965,105,04,013700,1024922,1010300058,MN17
41217194,LIBERTY RESTAURANT,Queens,12916,LIBERTY AVENUE,11419,7183234285,Chinese,03/22/2017,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,7,,,04/12/2020,Cycle Inspection / Initial Inspection,40.689365145503,-73.816081875288,410,28,015801,4204833,4095830007,QN55
50090718,KENNDY FRIED CHICKEN,Bronx,266,WILLIS AVENUE,10454,7185852440,American,12/19/2019,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,8,A,12/19/2019,04/12/2020,Pre-permit (Operational) / Initial Inspection,40.809520443148,-73.922567846464,201,08,003900,2092092,2022830001,BX39
50045240,HUNAN BISTRO,Manhattan,96,3 AVENUE,10003,7186685271,Chinese,03/26/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,93,,,04/12/2020,Cycle Inspection / Initial Inspection,40.732281041572,-73.98792691978,103,02,004200,1084940,1005580032,MN22
50049018,HOA NOODLE AND TEA,Manhattan,401,6 AVENUE,10014,2126338900,Chinese,08/27/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,12,A,08/27/2019,04/12/2020,Cycle Inspection / Re-inspection,40.733398795839,-73.999722162932,102,03,007100,1010269,1005930022,MN23
50034871,HO'BRAH A TACO JOINT,Staten Island,412,FOREST AVENUE,10301,7184428226,Mexican,09/10/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,25,,,04/12/2020,Cycle Inspection / Initial Inspection,40.630848694513,-74.103203187655,501,49,005900,5106726,5002530006,SI35
41406895,SUN SAI GAI RESTAURANT,Manhattan,220,CANAL STREET,10013,2129647256,Chinese,11/20/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,58,,,04/12/2020,Cycle Inspection / Initial Inspection,40.717138793492,-73.998795131761,103,01,002900,1079404,1001990011,MN27
50067088,MAMA KITCHEN NY,Brooklyn,7,ROCHESTER AVENUE,11233,7187713038,Jewish/Kosher,12/17/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,21,,,04/12/2020,Cycle Inspection / Initial Inspection,40.678883862968,-73.927374573754,303,36,029900,3047997,3017030003,BK61
50086717,THREE OWLS MARKET,Manhattan,800,WASHINGTON STREET,10014,9178104891,American,12/03/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,22,,,04/12/2020,Cycle Inspection / Initial Inspection,40.738844121535,-74.00810845598,102,03,007900,1085734,1006427502,MN23
41047349,JENNIFER CAFE,Manhattan,67,1 AVENUE,10003,9176745443,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04/12/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,16,B,04/12/2018,04/12/2020,Cycle Inspection / Re-inspection,40.725328443105,-73.986950460906,103,02,003800,1006218,1004460036,MN22
41608200,MIKE'S PIZZA OF BROOKLYN,Brooklyn,2026,BEDFORD AVENUE,11226,7189416224,Pizza,09/19/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,31,,,04/12/2020,Cycle Inspection / Initial Inspection,40.655329149358,-73.956340720843,309,40,079601,3115971,3050550059,BK60
50056971,CHUNG KIWA RESTAURANT,Queens,4006,74TH ST,11373,7184780925,Korean,05/09/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,9,A,05/09/2019,04/12/2020,Cycle Inspection / Re-inspection,40.746354783664,-73.891348079564,404,25,026500,4030458,4013050033,QN50
50065534,YORKVILLE BAGEL & CAFE,Manhattan,1821,2 AVENUE,10128,2129966544,American,06/18/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,19,B,06/18/2019,04/12/2020,Cycle Inspection / Re-inspection,40.783130241705,-73.947908013696,108,05,015601,1078607,1015400024,MN32
41118287,LA LIBERTAD RESTAURANT,Queens,9619,LIBERTY AVENUE,11417,7183233900,Spanish,08/08/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,37,,,04/12/2020,Cycle Inspection / Initial Inspection,40.680684493111,-73.842623752253,410,32,004002,4189619,4091190033,QN56
50046906,NETS PRACTICE FACILITY,Brooklyn,168,39 STREET,11232,7182152323,American,01/09/2020,Violations were cited in the following area(s).,20D,"“Choking first aid” poster not posted. “Alcohol and pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.",N,,,,04/12/2020,Administrative Miscellaneous / Initial Inspection,40.655754115026,-74.01131674161,307,38,001800,3337105,3007060001,BK32
40402699,RIVERDALE YACHT CLUB,Bronx,800,WEST 254 STREET & HUDSON RIVER,10471,7185430792,American,10/26/2017,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,N,,,,04/12/2020,Administrative Miscellaneous / Initial Inspection,40.903121070343,-73.914503439732,208,11,030900,2086115,2059300940,BX22
41267566,SMITH & MILLS,Manhattan,71,NORTH MOORE STREET,10013,2122262515,American,01/28/2020,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,N,,,,04/12/2020,Administrative Miscellaneous / Initial Inspection,40.720083513178,-74.009845003805,101,01,003900,1002123,1001880009,MN24
50060527,WYNDHAM GARDEN FRESH MEADOWS HOTEL,Queens,6127,186TH ST,11365,7186198818,American,05/17/2018,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,7,A,05/17/2018,04/12/2020,Cycle Inspection / Re-inspection,40.739873141519,-73.78824203443,408,23,134700,4000000,4070750041,QN41
50076589,ME-DO DESSERTS,Brooklyn,3,BAY   25 STREET,11214,6467522646,"Ice Cream, Gelato, Yogurt, Ices",09/11/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,11,A,09/11/2019,04/12/2020,Cycle Inspection / Initial Inspection,40.603864529619,-73.99779963873,311,47,028800,3166935,3063760038,BK28
50085965,EL NUEVO GENAO BAR RESTAURANT,Brooklyn,162,THROOP AVENUE,11206,7183840085,Spanish,11/13/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,31,,,04/12/2020,Cycle Inspection / Initial Inspection,40.699583413174,-73.944233670794,303,36,025700,3048354,3017260025,BK75
40973604,THE PIZZA PLACE,Bronx,4024,WHITE PLAINS ROAD,10466,7185159467,Pizza,05/20/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,25,,,04/12/2020,Cycle Inspection / Initial Inspection,40.889107658721,-73.859731221211,212,12,040600,2063479,2048400051,BX44
50043617,THE BAD OLD DAYS,Queens,1684,WOODBINE STREET,11385,3476960612,American,10/15/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,12,A,10/15/2019,04/12/2020,Cycle Inspection / Initial Inspection,40.700842267103,-73.908492138957,405,34,054900,4082423,4034500039,QN20
41450073,BIG FLEISHIG'S EXPRESS,Brooklyn,5508,16 AVENUE,11204,7184352779,Jewish/Kosher,02/13/2019,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,5,A,02/13/2019,04/12/2020,Cycle Inspection / Initial Inspection,40.627559763959,-73.989138373724,312,44,024000,3130638,3054880041,BK88
50003730,NEW DAVE'S,Queens,18524,UNION TPKE,11366,7187762500,Chinese,05/11/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,5,A,05/11/2019,04/12/2020,Cycle Inspection / Initial Inspection,40.728470502379,-73.783375113725,408,24,127700,4156123,4072560092,QN06
50008241,HEALTHY BITE,Manhattan,3961,207 STREET,,7325479465,American,02/27/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,25,,,04/12/2020,Cycle Inspection / Initial Inspection,0,0,,,,,1,
50045196,CAFE RAE'S,Queens,8229,164TH ST,11432,7183800029,Delicatessen,04/19/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,24,,,04/12/2020,Cycle Inspection / Initial Inspection,40.718450296572,-73.803735908128,408,24,126700,4152346,4070380017,QN38
50018146,GREGORY'S COFFEE,Manhattan,20,EAST   40 STREET,10016,2125108208,Café/Coffee/Tea,03/02/2020,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,11,A,03/02/2020,04/12/2020,Cycle Inspection / Initial Inspection,40.751611378266,-73.980466663593,105,04,008200,1017599,1008690061,MN20
50016317,TEPANGOS PIZZA & MEXICAN FOOD,Bronx,361,EAST  138 STREET,10454,7185857377,Pizza/Italian,08/24/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,14,B,08/24/2018,04/12/2020,Cycle Inspection / Re-inspection,40.809510316855,-73.923843041543,201,08,003900,2000602,2023010040,BX39
50011159,FRAICHE MAXX,Manhattan,213,PARK AVENUE SOUTH,10003,2125108551,American,01/28/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,23,B,01/28/2019,04/12/2020,Cycle Inspection / Re-inspection,40.736908797604,-73.988745199453,105,02,005000,1017840,1008730004,MN21
50035961,DONG HAI,Brooklyn,5024,7 AVENUE,11220,6462500676,Chinese,11/08/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,31,,,04/12/2020,Cycle Inspection / Initial Inspection,40.642261170594,-74.006111241282,307,38,009800,3013365,3007930037,BK34
50062783,TINA'S WHISKEY TAVERN,Staten Island,4060,HYLAN BOULEVARD,10308,7185544470,American,03/05/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,52,,,04/12/2020,Cycle Inspection / Initial Inspection,40.540581723373,-74.147442438066,503,51,015603,5068206,5053060009,SI54
50045785,CANTINE,Brooklyn,126,UNION STREET,11231,6464727941,American,11/19/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,11,A,11/19/2018,04/12/2020,Cycle Inspection / Re-inspection,40.684204262165,-74.002408541738,306,39,005100,3004447,3003420015,BK33
50052610,SANTO DOMINGO RESTAURANT,Brooklyn,862,NEW LOTS AVENUE,11208,6466453636,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/24/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,26,B,11/24/2017,04/12/2020,Cycle Inspection / Re-inspection,40.667935285874,-73.879032815803,305,42,112000,3098302,3044530002,BK82
